iso,secured_vaccines_pc,date,adm_tot_td_add_pc,del_dose_add_pc
ABW,,2023-03,2.03,1.798
AFG,1.33,2023-03,0.425,0.57
AGO,1.68,2023-03,0.759,0.968
AIA,,2023-03,1.64,1.804
ALB,1.2,2023-03,1.068,1.169
AND,2.19,2023-03,2.032,2.232
ARE,2.74,2023-03,,2.772
ARG,3.33,2023-03,,3.397
ARM,1.25,2023-03,0.727,1.005
ASM,,2023-03,2.078,
ATG,2.58,2023-03,1.394,2.602
AUS,9.9,2023-03,2.577,3.445
AUT,6.32,2023-03,2.291,5.653
AZE,1.49,2023-03,1.362,1.503
BDI,1.24,2023-03,0.003,0.068
BEL,6.32,2023-03,2.527,2.321
BEN,0.92,2023-03,,0.566
BFA,1.25,2023-03,0.325,0.433
BGD,2.69,2023-03,2.175,2.541
BGR,6.32,2023-03,0.664,2.079
BHR,2.18,2023-03,,2.248
BHS,1.7,2023-03,0.927,1.499
BIH,1.24,2023-03,,0.88
BLR,1.74,2023-03,2.198,2.26
BLZ,2.67,2023-03,1.284,2.421
BMU,,2023-03,2.12,2.332
BOL,2.54,2023-03,1.363,2.094
BRA,2.83,2023-03,2.396,2.989
BRB,1.8,2023-03,1.328,1.8
BRN,3.14,2023-03,2.953,3.246
BTN,3.26,2023-03,,3.22
BWA,2.41,2023-03,1.349,1.577
CAF,1.23,2023-03,0.563,0.765
CAN,8.32,2023-03,2.571,3.214
CHE,8.37,2023-03,1.935,2.412
CHL,4.52,2023-03,3.412,3.683
CHN,2.61,2023-03,2.39,2.61
CIV,1.22,2023-03,,1.073
CMR,1.2,2023-03,0.17,0.221
COD,1.51,2023-03,0.172,0.407
COG,1.46,2023-03,,0.556
COK,,2023-03,,2.559
COL,2.74,2023-03,1.774,2.848
COM,2.01,2023-03,,1.095
CPV,2.11,2023-03,,2.109
CRI,2.96,2023-03,2.559,2.968
CUB,3.99,2023-03,3.359,4.252
CUW,,2023-03,1.586,
CYM,,2023-03,2.308,2.524
CYP,6.48,2023-03,2.093,3.568
CZE,6.34,2023-03,1.74,3.302
DEU,6.68,2023-03,2.323,2.683
DJI,2.2,2023-03,0.395,2.171
DMA,3.97,2023-03,0.94,3.35
DNK,6.32,2023-03,2.596,2.436
DOM,2.87,2023-03,1.47,1.648
DZA,1.15,2023-03,,0.733
ECU,3.02,2023-03,,3.2
EGY,2.24,2023-03,1.084,1.173
ESP,6.32,2023-03,2.381,4.246
