iso,secured_vaccines_pc,date,adm_tot_td_add_pc,del_dose_add_pc
EST,6.32,2023-03,1.657,3.383
ETH,1.14,2023-03,0.468,0.686
FIN,6.32,2023-03,2.399,3.673
FJI,2.68,2023-03,1.734,2.03
FRA,6.32,2023-03,2.428,3.846
FSM,1.42,2023-03,1.728,
GAB,1.08,2023-03,,0.969
GBR,6.69,2023-03,,3.192
GEO,1.42,2023-03,0.686,0.902
GHA,1.45,2023-03,0.726,1.075
GIN,1.5,2023-03,0.811,0.891
GLP,,2023-03,0.998,
GMB,1.36,2023-03,0.598,0.93
GNB,1.62,2023-03,0.304,0.851
GNQ,0.59,2023-03,,0.705
GRC,6.32,2023-03,2.051,3.376
GRD,2.02,2023-03,0.806,2.105
GTM,1.28,2023-03,1.134,1.263
GUF,,2023-03,0.809,
GUY,2.52,2023-03,1.221,1.659
HND,2.15,2023-03,1.727,1.945
HRV,6.32,2023-03,1.335,2.405
HTI,1.0,2023-03,0.053,0.125
HUN,7.05,2023-03,1.696,3.391
IDN,2.17,2023-03,1.631,1.802
IND,2.01,2023-03,1.599,1.759
IRL,6.32,2023-03,2.49,3.293
IRN,2.24,2023-03,1.847,2.066
IRQ,0.94,2023-03,,0.537
ISL,3.63,2023-03,2.388,4.526
ISR,5.54,2023-03,,2.37
ITA,7.48,2023-03,2.52,2.642
JAM,1.86,2023-03,0.514,1.28
JOR,1.28,2023-03,,1.084
JPN,6.68,2023-03,3.031,3.32
KAZ,1.4,2023-03,1.832,1.237
KEN,1.17,2023-03,0.441,0.641
KGZ,1.58,2023-03,0.476,0.981
KHM,4.44,2023-03,2.8,3.046
KIR,2.67,2023-03,,2.867
KNA,1.32,2023-03,1.209,1.33
KOR,4.41,2023-03,2.647,3.466
KWT,2.08,2023-03,1.934,2.127
LAO,2.54,2023-03,1.896,2.508
LBN,1.3,2023-03,,0.98
LBR,1.28,2023-03,,0.99
LBY,1.56,2023-03,,1.02
LCA,1.73,2023-03,0.67,1.93
LKA,2.59,2023-03,,2.061
LSO,1.73,2023-03,0.625,1.173
LTU,6.32,2023-03,1.622,3.33
LUX,6.32,2023-03,2.136,4.453
LVA,6.43,2023-03,1.561,4.673
MAR,2.62,2023-03,1.501,1.651
MCO,1.81,2023-03,,1.826
MDA,1.38,2023-03,0.567,0.624
MDG,1.01,2023-03,0.102,0.267
MDV,4.02,2023-03,1.761,2.877
MEX,2.47,2023-03,1.724,2.13
MHL,1.39,2023-03,1.871,
MKD,2.08,2023-03,0.894,1.073
MLI,1.27,2023-03,0.276,0.413
MLT,6.32,2023-03,2.488,2.75
MMR,2.95,2023-03,1.598,1.364
MNE,1.69,2023-03,,1.686
MNG,2.54,2023-03,1.729,1.936
MNP,,2023-03,2.109,
MOZ,2.15,2023-03,0.942,1.383
MRT,1.34,2023-03,0.875,1.298
MSR,,2023-03,0.924,1.017
MUS,4.34,2023-03,2.056,2.261
MWI,1.01,2023-03,0.391,0.541
MYS,2.88,2023-03,2.243,2.672
NAM,0.79,2023-03,0.389,0.82
NCL,,2023-03,1.683,1.85
NER,1.33,2023-03,0.303,0.361
NGA,1.21,2023-03,0.571,0.705
NIC,2.1,2023-03,2.309,2.532
NIU,,2023-03,3.043,4.54
NLD,6.32,2023-03,,3.044
NOR,2.99,2023-03,2.295,4.298
NPL,2.42,2023-03,2.105,2.379
NRU,3.3,2023-03,,4.271
NZL,7.23,2023-03,2.488,2.825
OMN,1.49,2023-03,,1.526
PAK,1.43,2023-03,1.516,1.67
PAN,2.98,2023-03,2.035,2.309
PER,4.72,2023-03,2.685,2.946
PHL,2.9,2023-03,1.728,2.294
PLW,2.72,2023-03,2.821,0.343
PNG,1.02,2023-03,0.058,0.15
POL,6.32,2023-03,1.531,2.778
PRI,,2023-03,2.737,
PRT,6.32,2023-03,2.695,3.451
PRY,1.64,2023-03,1.349,1.507
PSE,2.59,2023-03,,1.242
PYF,,2023-03,1.699,1.967
QAT,2.77,2023-03,2.641,2.905
ROU,6.32,2023-03,0.833,1.392
RUS,2.0,2023-03,1.277,1.404
RWA,2.38,2023-03,2.07,2.585
SAU,2.1,2023-03,1.967,4.076
SDN,1.33,2023-03,0.509,0.71
SEN,1.28,2023-03,0.175,0.41
SGP,2.67,2023-03,2.551,2.787
SHN,,2023-03,,1.43
SLB,1.5,2023-03,0.877,1.103
SLE,1.14,2023-03,0.946,1.186
SLV,2.53,2023-03,1.754,2.084
SMR,2.24,2023-03,,2.332
SOM,1.32,2023-03,0.583,0.754
SRB,1.08,2023-03,0.971,1.402
SSD,1.21,2023-03,0.331,0.545
STP,1.92,2023-03,1.196,1.939
SUR,1.79,2023-03,0.945,1.39
SVK,6.69,2023-03,1.323,2.014
SVN,6.32,2023-03,1.443,3.382
SWE,6.32,2023-03,2.247,4.442
SWZ,1.24,2023-03,0.728,0.795
SXM,,2023-03,1.558,
SYC,2.91,2023-03,2.281,3.022
SYR,1.3,2023-03,0.29,0.775
TCA,,2023-03,1.909,2.1
TCD,1.21,2023-03,0.501,0.74
TGO,1.57,2023-03,0.411,0.803
THA,3.38,2023-03,2.043,2.298
TJK,1.74,2023-03,,2.224
TKL,,2023-03,,4.801
TKM,2.63,2023-03,,2.474
TLS,1.45,2023-03,1.528,1.794
TON,2.11,2023-03,1.936,2.162
TTO,2.71,2023-03,1.136,1.706
TUN,1.98,2023-03,1.121,1.495
TUR,2.82,2023-03,,1.99
TUV,2.19,2023-03,,3.181
TZA,0.84,2023-03,0.659,0.799
UGA,1.38,2023-03,0.577,1.267
UKR,3.05,2023-03,,1.244
URY,2.75,2023-03,2.594,2.835
USA,3.97,2023-03,2.013,2.811
UZB,2.06,2023-03,2.262,2.531
VCT,2.6,2023-03,0.662,2.615
VEN,1.65,2023-03,1.331,1.727
VGB,,2023-03,1.371,1.508
VNM,3.19,2023-03,2.733,3.011
VUT,1.85,2023-03,,1.535
WLF,,2023-03,,1.766
WSM,2.76,2023-03,,2.92
XKX,,2023-03,,1.497
YEM,1.2,2023-03,0.043,0.087
ZAF,1.17,2023-03,0.653,0.716
ZMB,1.37,2023-03,0.741,1.134
ZWE,2.92,2023-03,0.929,1.212
