iso,secured_vaccines_pc,name_long,date,adm_tot_td_add_pc,del_dose_add_pc
MNE,1.69,Montenegro,2023-09,0.839,1.686
MSR,,Montserrat,2023-09,0.924,1.017
MAR,2.62,Morocco,2023-09,1.501,1.651
MOZ,2.15,Mozambique,2023-09,1.118,1.383
MMR,2.95,Myanmar,2023-09,1.644,1.864
NAM,0.79,Namibia,2023-09,0.396,0.82
NRU,3.3,Nauru,2023-09,2.968,5.01
NPL,2.42,Nepal,2023-09,2.131,2.422
NLD,6.32,Netherlands,2023-09,2.074,3.928
NCL,,New Caledonia,2023-09,1.683,1.852
NZL,7.23,New Zealand,2023-09,2.541,2.876
NIC,2.1,Nicaragua,2023-09,2.34,2.758
NER,1.33,Niger,2023-09,0.305,0.452
NGA,1.21,Nigeria,2023-09,0.635,0.705
NIU,,Niue,2023-09,3.043,4.54
MKD,2.08,North Macedonia,2023-09,0.894,1.073
NOR,2.99,Norway,2023-09,2.298,4.359
OMN,1.49,Oman,2023-09,1.392,1.526
PAK,1.43,Pakistan,2023-09,1.539,1.693
PLW,2.72,Palau,2023-09,2.821,0.343
PAN,2.98,Panama,2023-09,2.063,2.452
PNG,1.02,Papua New Guinea,2023-09,0.06,0.176
PRY,1.64,Paraguay,2023-09,1.372,1.507
PER,4.72,Peru,2023-09,2.717,3.148
PHL,2.9,Philippines,2023-09,1.728,2.297
POL,6.32,Poland,2023-09,1.534,2.778
PRT,6.32,Portugal,2023-09,2.698,3.451
QAT,2.77,Qatar,2023-09,2.641,2.905
KOR,4.41,Republic of Korea,2023-09,2.651,3.474
MDA,1.38,Republic of Moldova,2023-09,0.567,0.624
ROU,6.32,Romania,2023-09,0.833,1.392
RUS,2.0,Russian Federation,2023-09,1.279,1.407
RWA,2.38,Rwanda,2023-09,2.109,2.585
SHN,,Saint Helena,2023-09,,1.43
KNA,1.32,Saint Kitts and Nevis,2023-09,1.209,1.33
LCA,1.73,Saint Lucia,2023-09,0.67,1.93
VCT,2.6,Saint Vincent and the Grenadines,2023-09,0.662,2.788
WSM,2.76,Samoa,2023-09,2.284,2.92
SMR,2.24,San Marino,2023-09,2.043,2.332
STP,1.92,Sao Tome and Principe,2023-09,1.204,1.939
SAU,2.1,Saudi Arabia,2023-09,1.969,4.076
SEN,1.28,Senegal,2023-09,0.188,0.447
