name_long,iso,cov_tot_cps,cov_hcw_cps,cov_old_cps
Samoa,WSM,89.69,100.0,81.92
San Marino,SMR,69.64,79.45,78.48
Sao Tome and Principe,STP,51.1,100.0,64.28
Saudi Arabia,SAU,73.06,82.99,67.78
Senegal,SEN,8.98,100.0,46.73
Serbia,SRB,48.0,63.61,64.78
Seychelles,SYC,84.97,,100.0
Sierra Leone,SLE,62.2,100.0,17.81
Singapore,SGP,89.72,100.0,100.0
Slovakia,SVK,51.14,,69.12
Slovenia,SVN,57.63,65.06,76.4
Solomon Islands,SLB,36.98,100.0,44.96
Somalia,SOM,48.24,100.0,47.49
South Africa,ZAF,35.47,,70.7
South Sudan,SSD,37.93,100.0,100.0
Spain,ESP,79.19,100.0,95.62
Sri Lanka,LKA,68.9,100.0,74.51
Sudan,SDN,30.6,100.0,8.85
Suriname,SUR,40.55,,
Sweden,SWE,71.7,70.15,92.66
Switzerland,CHE,66.13,64.65,84.3
Syrian Arab Republic,SYR,13.48,35.24,19.14
Tajikistan,TJK,54.21,91.29,
United Republic of Tanzania,TZA,53.85,68.77,100.0
Thailand,THA,77.62,100.0,59.53
Timor-Leste,TLS,60.65,100.0,77.97
Togo,TGO,18.77,69.65,100.0
Tokelau,TKL,163.19,,
Tonga,TON,73.22,100.0,100.0
Trinidad and Tobago,TTO,51.37,3.33,
Tunisia,TUN,54.17,,86.68
Turkey,TUR,63.05,,
Turkmenistan,TKM,61.17,42.12,0.23
Turks and Caicos Islands,TCA,79.32,,
Tuvalu,TUV,80.61,84.0,22.29
United Arab Emirates,ARE,99.01,,
Uganda,UGA,28.55,100.0,36.45
United Kingdom of Great Britain and Northern Ireland,GBR,74.78,,
Ukraine,UKR,34.65,60.89,32.72
Uruguay,URY,83.55,94.79,92.84
United States of America,USA,68.87,,91.16
Uzbekistan,UZB,54.73,83.01,31.69
Vanuatu,VUT,52.83,100.0,80.58
Venezuela (Bolivarian Republic of),VEN,50.24,100.0,100.0
Viet Nam,VNM,88.31,100.0,95.48
Wallis and Futuna,WLF,60.49,,
"occupied Palestinian territory, including east Jerusalem",PSE,34.83,,53.79
Yemen,YEM,2.68,33.83,9.41
Zambia,ZMB,49.8,100.0,67.12
Zimbabwe,ZWE,38.01,,
