iso,income_group,pop,pop_hcw,pop_old,name
LBN,UMIC,6825445.0,82801.0,1138313.0,Lebanon
LSO,LMIC,2142249.0,16143.0,306520.0,Lesotho
LBR,LIC,5057681.0,36001.0,567958.0,Liberia
LBY,UMIC,6871292.0,74168.0,495173.0,Libya
LTU,HIC,2794090.0,92625.0,760356.0,Lithuania
LUX,HIC,626108.0,31975.0,129141.0,Luxembourg
MDG,LIC,27691018.0,80166.0,3039903.0,Madagascar
MWI,LIC,19129952.0,29519.0,1689433.0,Malawi
MYS,UMIC,32365999.0,639617.0,3702369.0,Malaysia
MDV,UMIC,540544.0,17054.0,33136.0,Maldives
MLI,LIC,20250833.0,22785.0,1689827.0,Mali
MLT,HIC,514564.0,20038.0,126558.0,Malta
MHL,UMIC,59194.0,4917.0,8449.0,Marshall Islands
MRT,LMIC,4649658.0,16874.0,523354.0,Mauritania
MUS,UMIC,1271768.0,21815.0,243101.0,Mauritius
MEX,UMIC,128932753.0,1599664.0,15028718.0,Mexico
FSM,LMIC,115023.0,1184.0,24725.0,Micronesia
MCO,HIC,39244.0,1980.0,13637.0,Monaco
MNG,LMIC,3278290.0,39938.0,575815.0,Mongolia
MNE,UMIC,628062.0,12905.0,141212.0,Montenegro
MSR,Other,4999.0,,,Montserrat
MAR,LMIC,36910560.0,116863.0,2961430.0,Morocco
MOZ,LIC,31255435.0,111542.0,2853011.0,Mozambique
MMR,LMIC,54409800.0,162273.0,5637607.0,Myanmar
NAM,UMIC,2540905.0,19318.0,146909.0,Namibia
NRU,HIC,10834.0,218.0,742.0,Nauru
NPL,LMIC,29136808.0,68798.0,3693158.0,Nepal
NLD,HIC,17407585.0,1467661.0,4657170.0,Netherlands
NCL,HIC,285498.0,,10240.0,New Caledonia
NZL,HIC,4822233.0,317226.0,813455.0,New Zealand
NIC,LMIC,6624554.0,59987.0,599714.0,Nicaragua
NER,LIC,24206644.0,44228.0,2104176.0,Niger
NGA,LMIC,206139589.0,1109420.0,20606608.0,Nigeria
NIU,Other,1618.0,36.0,286.0,Niue
MKD,UMIC,2083380.0,45007.0,439420.0,North Macedonia
NOR,HIC,5367580.0,564302.0,1287072.0,Norway
OMN,HIC,5106626.0,99901.0,234088.0,Oman
PAK,LMIC,220892340.0,1148724.0,15408512.0,Pakistan
PLW,HIC,18092.0,364.0,1792.0,Palau
PAN,UMIC,4314767.0,102528.0,550050.0,Panama
PNG,LMIC,8947024.0,14292.0,1646256.0,Papua New Guinea
PRY,UMIC,7132538.0,129342.0,729005.0,Paraguay
